Team Name,Against Team,Date,Home Team,Away Team,FT,HT,HTFT,ATFT,HTHT,ATHT,Result,Half-Time Result,Half-Time leading team Win?,MainTeamW_L,MainTeamW_LBin,HTWL,ATWL,HTWS,ATWS,HTBS,ATBS,HTTR,ATTR,Grouped Team Rating,Against Team Rating,Home Team Rating,Away Team Rating,MatchFixtureRating
Bradford,Leeds,29-10-2000,Bradford,Leeds,1-1,1-0,1,1,1,0,Draw,Bradford,No,D,1,D,D,1,1,0,0,1,1,1.42105,4.25658,1.89474,4.98684,0
Everton,Liverpool,29-10-2000,Liverpool,Everton,3-1,1-1,3,1,1,1,Liverpool,Draw,Draw,L,0,W,L,3,0,2,0,5,0,3.77663,5.61095,5.39349,3.46450,-5
Leeds,Bradford,29-10-2000,Bradford,Leeds,1-1,1-0,1,1,1,0,Draw,Bradford,No,D,1,D,D,1,1,0,0,1,1,4.25658,1.42105,1.89474,4.98684,0
Liverpool,Everton,29-10-2000,Liverpool,Everton,3-1,1-1,3,1,1,1,Liverpool,Draw,Draw,W,2,W,L,3,0,2,0,5,0,5.61095,3.77663,5.39349,3.46450,5
Arsenal,Middlesbrough,04-11-2000,Middlesbrough,Arsenal,0-1,0-1,0,1,0,1,Arsenal,Arsenal,Yes,W,2,L,W,0,8,0,6,0,14,6.11391,3.09211,3.39474,6.36982,14
Bradford,Charlton,04-11-2000,Charlton,Bradford,2-0,2-0,2,0,2,0,Charlton,Charlton,Yes,L,0,W,L,3,0,7,0,10,0,1.42105,3.31955,3.52632,0.94737,-10
Charlton,Bradford,04-11-2000,Charlton,Bradford,2-0,2-0,2,0,2,0,Charlton,Charlton,Yes,W,2,W,L,3,0,7,0,10,0,3.31955,1.42105,3.52632,0.94737,10
Chelsea,Southampton,04-11-2000,Southampton,Chelsea,3-2,2-0,3,2,2,0,Southampton,Southampton,Yes,L,0,W,L,3,0,6,0,9,0,6.53550,3.30000,3.46117,6.99408,-9
Coventry,Man United,04-11-2000,Coventry,Man United,1-2,0-2,1,2,0,2,Man United,Man United,Yes,L,0,L,W,0,8,0,6,0,14,2.60526,6.81657,2.31579,7.06805,-14
Ipswich,Newcastle,04-11-2000,Newcastle,Ipswich,2-1,1-1,2,1,1,1,Newcastle,Draw,Draw,L,0,W,L,3,0,1,0,4,0,3.63158,3.47167,3.78333,3.94737,-4
Leeds,Liverpool,04-11-2000,Leeds,Liverpool,4-3,1-2,4,3,1,2,Leeds,Liverpool,No,W,2,W,L,3,0,1,0,4,0,4.25658,5.61095,3.52632,5.82840,4
Leicester,Man City,04-11-2000,Man City,Leicester,0-1,0-0,0,1,0,0,Leicester,Draw,Draw,W,2,L,W,0,8,0,1,0,9,3.27132,5.22763,5.35737,3.08527,9
Liverpool,Leeds,04-11-2000,Leeds,Liverpool,4-3,1-2,4,3,1,2,Leeds,Liverpool,No,L,0,W,L,3,0,1,0,4,0,5.61095,4.25658,3.52632,5.82840,-4
Man City,Leicester,04-11-2000,Man City,Leicester,0-1,0-0,0,1,0,0,Leicester,Draw,Draw,L,0,L,W,0,8,0,1,0,9,5.22763,3.27132,5.35737,3.08527,-9
Man United,Coventry,04-11-2000,Coventry,Man United,1-2,0-2,1,2,0,2,Man United,Man United,Yes,W,2,L,W,0,8,0,6,0,14,6.81657,2.60526,2.31579,7.06805,14
Middlesbrough,Arsenal,04-11-2000,Middlesbrough,Arsenal,0-1,0-1,0,1,0,1,Arsenal,Arsenal,Yes,L,0,L,W,0,8,0,6,0,14,3.09211,6.11391,3.39474,6.36982,-14
Newcastle,Ipswich,04-11-2000,Newcastle,Ipswich,2-1,1-1,2,1,1,1,Newcastle,Draw,Draw,W,2,W,L,3,0,1,0,4,0,3.47167,3.63158,3.78333,3.94737,4
Southampton,Chelsea,04-11-2000,Southampton,Chelsea,3-2,2-0,3,2,2,0,Southampton,Southampton,Yes,W,2,W,L,3,0,6,0,9,0,3.30000,6.53550,3.46117,6.99408,9
Sunderland,Tottenham,04-11-2000,Tottenham,Sunderland,2-1,1-0,2,1,1,0,Tottenham,Tottenham,Yes,L,0,W,L,3,0,6,0,9,0,2.46805,4.57396,4.78402,2.35714,-9
Tottenham,Sunderland,04-11-2000,Tottenham,Sunderland,2-1,1-0,2,1,1,0,Tottenham,Tottenham,Yes,W,2,W,L,3,0,6,0,9,0,4.57396,2.46805,4.78402,2.35714,9
